Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
Sol, Madrid, Community of Madrid 28005, Spain;Sol;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Futon;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;700.0;95.0;200.0;;2;15;4;26;0.47
Recoletos, Madrid, Madrid 28009, Spain;Recoletos;Madrid;28009;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;215.0;60.0;100.0;25.0;1;0;3;99;1.37
Fuente del Berro, Madrid, Madrid 28028, Spain;Fuente del Berro;Madrid;28028;Spain;House;Private room;4;2.5;1.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Smoking allowed,Gym,Breakfast,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Suitable for events,Washer,Dryer;2691.0;25.0;;;1;15;2;21;0.5
Trafalgar, Madrid, Community of Madrid 28010, Spain;Trafalgar;Madrid;28010;Spain;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;323.0;60.0;;25.0;2;15;4;37;0.91
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;753.0;91.0;300.0;52.0;1;11;3;18;0.34
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Private room;1;0.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Washer,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;129.0;25.0;150.0;;1;0;10;14;0.24
Malasaña, Madrid, Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;Apartment;Entire home/apt;2;1.0;;1.0;Pull-out Sofa;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;323.0;40.0;;;1;0;5;26;0.61
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;646.0;116.0;300.0;60.0;4;20;2;136;1.93
La Latina, Madrid, Comunidad de Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;6;1.0;3.0;5.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;969.0;150.0;;60.0;4;20;3;70;1.62
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;50.0;81.0;200.0;32.0;2;11;4;8;0.32
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo;344.0;45.0;;20.0;1;0;4;24;0.65
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;1163.0;95.0;200.0;50.0;2;20;2;20;0.51
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;431.0;75.0;;;1;0;2;114;1.8
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;484.0;59.0;100.0;;2;15;2;124;3.32
Malasaña, Madrid, Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Iron;484.0;40.0;;30.0;2;10;3;86;1.48
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Shared room;7;3.0;1.0;10.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating;269.0;13.0;;;1;13;2;150;2.71
Madrid, Community of Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;10;2.0;5.0;8.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1615.0;300.0;;80.0;7;20;3;23;0.55
Recoletos, Madrid, Community of Madrid 28001, Spain;Recoletos;Madrid;28001;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;323.0;60.0;100.0;25.0;1;0;1;263;4.32
Hispanoamérica, Madrid, Madrid 28016, Spain;Hispanoamérica;Madrid;28016;Spain;Chalet;Private room;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;172.0;48.0;90.0;10.0;1;30;2;46;0.77
Palos do Moguer, Madrid, Comunidad de Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;Dorm;Private room;1;0.0;1.0;1.0;Pull-out Sofa;Kitchen,Smoking allowed,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly;129.0;149.0;;;1;75;2;0;
Argüelles, Madrid, Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;Apartment;Entire home/apt;6;2.0;2.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;85.0;119.0;200.0;48.0;2;11;4;11;0.36
Vicálvaro, Madrid, Community of Madrid 28032, Spain;Vicálvaro;Madrid;28032;Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Dog(s),Cat(s),Other pet(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;646.0;35.0;100.0;40.0;2;31;1;3;0.2
Vicálvaro, Madrid, Madrid 28032, Spain;Vicálvaro;Madrid;28032;Spain;Apartment;Private room;3;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Buzzer/wireless intercom,Heating,Washer;75.0;20.0;;;1;12;4;0;
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox;474.0;46.0;100.0;;1;12;1;352;6.45
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;678.0;50.0;;20.0;16;0;3;18;1.57
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;484.0;74.0;100.0;25.0;1;0;4;132;2.79
Malasaña, Madrid, 28004, Spain;Malasaña;Madrid;28004;Spain;House;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;861.0;70.0;150.0;20.0;2;20;6;26;0.55
Adelfas, Madrid, Community of Madrid 28007, Spain;Adelfas;Madrid;28007;Spain;House;Entire home/apt;6;1.5;2.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;753.0;60.0;100.0;;2;15;3;128;2.47
Goya, Madrid, Comunidad de Madrid 28006, Spain;Goya;Madrid;28006;Spain;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;969.0;94.0;200.0;30.0;1;0;2;67;4.33
Fuencarral-el Pardo, Madrid, Madrid 28034, Spain;Fuencarral-el Pardo;Madrid;28034;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Pool,Washer / Dryer,Doorman,Elevator in building,Heating,Washer,Dryer;861.0;45.0;;;1;0;2;0;
Carabanchel, Madrid, Community of Madrid 28025, Spain;Carabanchel;Madrid;28025;Spain;Other;Private room;2;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Wheelchair accessible,Doorman,Pets live on this property,Dog(s),Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Laptop friendly workspace;108.0;18.0;200.0;20.0;1;40;1;27;0.59
Almagro, Madrid, Madrid 28010, Spain;Almagro;Madrid;28010;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Elevator in building,Heating,Washer,Essentials,Shampoo;538.0;75.0;100.0;;2;10;2;59;0.88
Argüelles, Madrid, Community of Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;Apartment;Private room;4;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance;484.0;23.0;88.0;20.0;1;22;5;5;0.18
San Blas, Madrid, Madrid 28022, Spain;San Blas;Madrid;28022;Spain;Apartment;Private room;2;2.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Smoking allowed,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Shampoo,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;1292.0;29.0;;;2;0;1;100;1.48
